,ci_test_results,z_test_results,z_test_p_values,mean_diff
KCNH2,False,False,0.889,-0.112
CD34,False,False,0.296,-2.583
SSBP1,False,False,0.525,-3.799
FUBP3,False,False,0.873,-0.183
OR8B2,False,False,0.853,-0.173
PPP6R1,True,True,0.0,-20.757
TRAF3IP1,False,False,0.103,-1.083
MARVELD2,False,True,0.041,2.069
CHFR,True,True,0.0,-8.689
NPIPB3,False,False,0.555,6.36
FFAR3,False,False,0.111,1.306
HOXA13,False,False,0.495,-0.703
MSRB2,False,False,0.63,-0.176
INSIG2,False,False,0.432,0.667
SRSF6,False,True,0.047,7.704
MBOAT4,False,False,0.073,-2.151
C15orf61,True,True,0.0,-2.558
ITCH,True,True,0.0,-6.03
SLC35G5,False,False,0.379,-0.383
WASH1,True,True,0.0,-9.636
PRADC1,True,True,0.0,-2.835
OR5M1,False,False,0.74,-0.274
OST4,False,False,0.192,-12.362
DDX3Y,False,True,0.023,-6.734
PLA2G5,False,False,0.161,0.289
MAX,False,True,0.008,-7.644
IFT57,True,True,0.0,14.515
TMSB15A,False,False,0.095,-2.725
PNPO,False,False,0.088,1.34
EXOSC8,False,False,0.956,0.06
VKORC1,True,True,0.004,-8.696
SLC2A14,False,False,0.07,-1.759
TM4SF20,True,True,0.027,3.778
LAMA1,False,False,0.141,1.436
MLX,False,False,0.419,-0.662
ARL6IP4,True,True,0.0,-14.139
GDF11,False,False,0.206,-2.465
HHIPL1,False,False,0.8,0.114
GOLGA2,True,True,0.0,-5.587
POLR3F,False,True,0.044,4.052
ZNF207,True,True,0.0,-18.231
TMEM132A,False,False,0.841,-0.561
C10orf54,True,True,0.0,-49.495
SLC29A4,False,False,0.423,0.298
ALOX15B,False,False,0.086,2.29
GOLGA7,True,True,0.0,-15.607
BICD2,False,False,0.837,0.28
HSPA4L,False,False,0.388,-1.231
NIPSNAP1,False,False,0.646,-0.897
MYOM3,False,False,0.115,2.549
RP11-1212A22.4,True,True,0.001,-6.551
GDF1,False,False,0.824,0.469
NBPF19,True,True,0.0,-57.719
GAPT,False,False,0.134,8.068
TP53TG3D,False,False,0.664,0.406
SPINT4,False,False,0.936,0.115
MICB,True,True,0.0,-4.088
PPM1K,True,True,0.0,15.151
MRTO4,False,False,0.119,1.763
CREBBP,True,True,0.005,-5.5
NME4,True,True,0.002,12.45
CENPU,False,False,0.22,2.337
ADAM17,False,True,0.014,2.503
IGSF9,False,False,0.595,0.301
COL1A1,False,False,0.437,-37.958
PEX7,False,True,0.045,2.677
ATAD2,False,False,0.307,1.691
KRTAP9-8,False,False,0.782,-0.406
YTHDF1,False,False,0.927,-0.097
PLGRKT,False,True,0.027,-2.577
RSPRY1,False,False,0.858,0.174
CDCA3,False,False,0.265,1.131
KATNAL2,False,True,0.014,0.643
FAM229A,False,False,0.487,0.788
ALDH1L1,False,False,0.226,-1.901
OSBPL7,True,True,0.0,-4.488
SOX7,False,False,0.854,0.224
KRT40,False,False,0.182,2.481
GAB2,False,False,0.856,0.262
GLB1L3,False,False,0.655,0.301
ZNF280C,False,False,0.966,-0.015
COX10,False,False,0.925,-0.073
CHMP3,False,False,0.144,2.029
OR2L5,False,False,0.857,0.176
LMLN,False,False,0.129,0.787
CD99,True,True,0.0,-129.235
KRT7,False,False,0.839,4.891
HDHD1,False,False,0.077,2.323
RIT1,True,True,0.0,-7.664
ARMCX6,False,False,0.95,-0.071
TOMM20,True,True,0.0,9.435
STK4,True,True,0.0,-18.144
E4F1,True,True,0.0,-4.304
MGLL,False,False,0.273,2.55
HOXA4,False,False,0.334,0.855
FKBP5,False,True,0.01,-12.78
EPHA6,False,False,0.885,0.268
DYNLL1,False,True,0.032,-21.415
CDC6,False,False,0.532,1.093
OIT3,False,False,0.554,0.178
APPL1,True,True,0.004,4.091
MGAT4A,True,True,0.0,-19.719
SLC52A2,False,False,0.723,-0.923
AHSP,False,False,0.285,0.614
KRTAP11-1,False,False,0.229,-2.404
C11orf91,False,False,0.161,-2.355
PPP1R17,False,False,0.313,1.53
SLC22A25,False,False,0.159,-2.243
PTTG2,False,False,0.371,0.984
ADK,True,True,0.0,15.296
MFAP2,False,False,0.214,-2.869
OR51S1,False,False,0.837,-0.137
SMUG1,False,False,0.466,-0.714
LELP1,False,False,0.108,1.125
SAPCD1,False,False,0.328,1.997
CLDN19,False,False,0.934,-0.094
CHTF18,False,True,0.043,-1.061
KCNA7,False,False,0.117,-0.692
CLECL1,True,True,0.0,33.392
CENPF,False,False,0.423,1.732
PIGM,False,False,0.201,1.306
C16orf72,True,True,0.002,-4.57
FAM149A,False,False,0.122,0.883
TRIML2,False,False,0.492,-0.45
RECQL4,False,False,0.129,2.257
ATXN1L,False,True,0.02,-2.162
PCDHA9,False,False,0.659,0.66
DDT,False,True,0.025,10.496
SLC48A1,False,True,0.007,2.312
TMEM89,False,False,0.468,0.916
NFKBIZ,False,False,0.122,-7.83
FBXO42,False,False,0.107,-3.282
AC011476.1,False,False,0.211,-1.433
B3GALNT2,False,False,0.439,0.519
CA3,False,False,0.766,0.252
SULT1B1,True,True,0.0,-3.929
OR4K5,False,False,0.206,2.014
OXCT1,False,False,0.151,1.507
C10orf120,False,False,0.272,1.471
NRN1L,False,False,0.451,-1.119
ZNF461,False,False,0.66,-0.699
HBQ1,False,False,0.776,0.157
CACNG6,False,False,0.491,-0.843
C1orf194,False,False,0.253,1.093
NFYB,False,False,0.061,-2.25
VTI1B,False,True,0.011,-4.473
ZNF551,False,False,0.267,1.715
TAOK2,True,True,0.0,-7.269
CPD,True,True,0.0,-6.945
LILRA6,False,False,0.351,-2.258
RCAN1,False,False,0.05,-4.505
RNF175,False,False,0.172,-0.87
SLC1A4,False,False,0.234,2.031
OR2V2,False,False,0.881,-0.184
DMKN,False,False,0.698,-1.113
MAOB,False,False,0.562,0.758
GBP5,True,True,0.0,-68.885
CSTA,False,True,0.045,-8.037
SURF2,False,True,0.03,-3.431
CXCR3,True,True,0.0,-15.002
THBS2,False,False,0.908,-0.557
SYCE3,False,False,0.554,0.665
TMEM174,False,False,0.34,0.969
ZFP90,True,True,0.0,-4.838
CNTD2,False,False,0.202,2.158
PROB1,False,False,0.973,0.011
P2RY4,False,False,0.149,1.014
CDK13,False,False,0.805,-0.34
GOLGA7B,False,False,0.755,-0.195
PTCD3,False,True,0.008,-7.839
CD40LG,False,False,0.864,0.446
NEIL1,True,True,0.0,-5.914
GPR183,True,True,0.0,68.586
COX5A,False,False,0.063,14.802
PCK1,False,False,0.27,-0.44
FAM9C,False,False,0.407,-1.434
C2CD4B,False,False,0.171,-2.555
FSTL1,False,False,0.77,-4.822
DENND2D,True,True,0.0,-48.24
NKAIN3,False,False,0.319,0.671
BAD,False,False,0.427,-2.329
COL4A1,False,False,0.104,-13.107
APMAP,True,True,0.0,-125.123
FAM231A,False,False,0.664,0.512
UBQLN1,False,False,0.914,0.285
DMAP1,True,True,0.0,-3.283
CCAR2,True,True,0.0,-22.895
LAIR2,True,True,0.0,-27.877
PRR23B,False,False,0.305,-1.083
PARP14,True,True,0.0,16.485
CDK12,False,False,0.493,0.861
TIMP2,False,False,0.608,-5.176
CDC42EP1,False,False,0.104,-2.85
ACOT11,False,False,0.143,1.912
LY6K,False,False,0.822,-0.401
WNT6,False,False,0.807,-0.311
GMCL1,True,True,0.009,-2.688
DEFB108B,False,False,0.268,-1.52
NTRK3,False,False,0.326,0.684
ZNF253,False,False,0.801,-0.17
DLK1,False,False,0.23,1.12
ISCA2,False,False,0.13,-2.35
FAM120AOS,False,False,0.739,0.686
MRAP2,False,False,0.703,-0.391
PPIB,False,False,0.943,1.302
ENG,True,True,0.002,-18.826
MRPS22,False,False,0.883,0.185
ADAMTS2,False,False,0.403,0.997
TCN2,False,False,0.143,-2.036
FMO3,False,False,0.817,0.255
LRRC15,False,False,0.316,1.44
OR10H4,False,False,0.542,-0.086
AL049794.1,False,False,0.942,0.148
NT5C3B,True,True,0.001,2.595
RING1,True,True,0.0,-3.97
SLC30A2,False,False,0.562,0.471
CDNF,True,True,0.024,3.911
RAB30,True,True,0.0,37.214
CTSG,True,True,0.004,-3.823
ZNF501,False,False,0.558,0.706
GPC1,False,False,0.227,3.854
COX6C,False,False,0.762,-4.226
CAPG,False,False,0.632,7.889
GPR153,True,True,0.005,-3.662
TWISTNB,False,False,0.206,0.749
WDR34,True,True,0.0,8.78
MYLK2,False,False,0.428,-1.373
KLLN,False,False,0.616,-0.162
XYLT1,False,False,0.134,-2.269
TMEM50A,True,True,0.0,-9.985
RAB14,False,False,0.151,-1.984
MTMR11,False,False,0.431,0.442
SLC4A1,False,False,0.394,0.692
TGM3,False,False,0.109,1.147
EIF4B,True,True,0.001,28.8
PRKAA2,False,False,0.351,0.929
MYH2,False,False,0.99,-0.008
LRRC66,False,False,0.448,0.583
TNFRSF1B,True,True,0.0,-48.282
RHOH,True,True,0.0,19.163
HEXIM2,False,False,0.793,0.243
PNLDC1,False,False,0.365,-0.628
IPO7,False,True,0.033,5.863
GSTM4,False,True,0.029,-2.52
FAM19A4,False,False,0.508,0.932
FAM169B,False,False,0.532,-0.53
SLC35G1,False,False,0.462,0.594
DEPDC4,False,False,0.2,0.796
TMED5,False,True,0.024,-3.14
TINF2,True,True,0.0,-15.739
PRR14,True,True,0.0,-5.688
LDLRAD1,False,False,0.737,0.381
WEE1,True,True,0.0,5.742
TTLL12,False,True,0.029,2.673
CREBZF,True,True,0.004,-2.887
KCTD8,False,False,0.209,-1.863
VEGFC,False,False,0.624,0.673
MMP20,False,False,0.508,-0.409
RNF167,True,True,0.0,-41.652
ABCA2,True,True,0.0,-29.115
ARHGAP11A,False,False,0.075,2.363
GPR65,True,True,0.0,-13.409
SPRR4,False,False,0.304,-0.666
CD69,False,False,0.504,-18.916
BTBD1,False,False,0.182,-1.995
TM9SF3,False,False,0.695,-1.019
SLFN12L,True,True,0.0,-29.022
RABGGTB,False,True,0.007,3.672
NRCAM,False,False,0.367,0.843
CD101,False,False,0.955,0.067
ADPRH,False,True,0.016,1.743
ADAP1,True,True,0.0,-15.841
FAM53C,False,False,0.119,-2.849
STAMBP,False,False,0.493,-0.828
CH507-396I9.6,False,False,0.271,1.939
AP3M2,False,False,0.117,-1.423
SMIM2,False,False,0.194,0.85
PHKA2,False,False,0.875,0.15
ACADM,True,True,0.0,8.116
PFDN6,False,False,0.501,1.693
KIDINS220,True,True,0.0,-5.291
BCL9,False,False,0.233,-0.663
SLC9A9,False,False,0.178,-1.231
LAPTM4A,False,False,0.474,3.992
H2AFX,False,True,0.04,-6.061
DENND2A,False,False,0.595,-0.33
PKD1,False,True,0.013,-3.841
SPP1,False,False,0.589,-48.898
PIRT,False,False,0.061,2.919
KIRREL,False,False,0.551,0.909
CSGALNACT1,True,True,0.0,7.601
FAM71C,False,False,0.483,0.543
HECW1,False,False,0.488,1.014
CRISPLD1,False,False,0.41,-0.693
SOX4,False,False,0.06,4.339
PTN,False,False,0.428,-2.259
PPP1CB,False,False,0.218,-4.279
OLFML2B,False,False,0.075,-3.05
NIF3L1,False,False,0.437,-0.762
ZNF644,False,True,0.041,3.943
ANAPC11,True,True,0.001,-14.137
TMPRSS7,False,False,0.961,0.038
OR4D11,False,False,0.443,0.605
ESAM,False,False,0.137,-3.773
PSG4,False,False,0.47,0.956
NKAIN2,False,False,0.462,-0.717
ZNF573,False,False,0.686,0.298
DIP2A,True,True,0.0,-23.66
BRF2,False,False,0.394,-1.324
CNNM4,False,False,0.206,1.639
CSF2RA,False,False,0.721,-1.139
FOXD1,False,False,0.361,-1.176
MYO18B,False,False,0.171,1.51
GTF2A2,False,True,0.014,-7.269
SERPINE2,False,False,0.766,10.75
HMGB1,False,True,0.026,-30.792
SOWAHA,False,False,0.205,-1.469
VAPB,False,False,0.465,-0.408
FAM217A,False,False,0.958,0.075
RQCD1,False,False,0.433,-1.759
DNAJC10,True,True,0.0,8.213
F2R,True,True,0.0,-27.993
INIP,False,False,0.061,-2.306
DDX18,False,False,0.067,3.693
VPS4A,False,False,0.359,-0.636
EMID1,False,False,0.528,-0.827
ZNF576,False,False,0.196,1.274
POLR3G,False,True,0.022,4.845
ACYP2,False,False,0.09,-2.608
P2RY2,False,False,0.608,0.451
COL2A1,False,False,0.857,0.366
CDK2AP2,True,True,0.0,-23.347
ROBO2,False,False,0.317,1.338
EHD4,False,False,0.83,0.457
ZFAT,False,False,0.247,-2.406
SPPL2B,True,True,0.0,11.375
ADAMTS1,False,False,0.063,-6.562
DOCK9,True,True,0.0,-9.717
RNASEH2B,True,True,0.0,5.53
UXS1,False,False,0.13,-2.819
LRRC29,False,False,0.508,0.994
HIPK3,True,True,0.005,-3.389
MDP1,False,False,0.776,0.32
CDCP2,False,False,0.993,-0.008
TAS2R60,False,False,0.252,1.496
C22orf42,False,False,0.247,-1.619
FCN1,True,True,0.005,-94.916
STAG2,False,False,0.264,-2.586
RAB31,False,False,0.858,0.325
DTWD2,False,False,0.696,0.349
CPT1B,False,False,0.754,0.459
NRROS,False,False,0.121,2.116
XAGE1A,False,True,0.013,11.434
RPS8,True,True,0.0,619.754
ALS2CL,False,False,0.958,0.055
PMVK,False,False,0.11,2.791
RGS14,True,True,0.0,-10.677
IDH1,False,True,0.026,9.187
MTNR1A,False,False,0.699,-0.209
ZNF554,False,False,0.206,-2.034
SLC51B,False,False,0.509,0.336
HPD,False,False,0.814,0.383
PRRT2,False,False,0.424,-0.884
TSPAN4,False,False,0.297,-3.381
PJA1,False,False,0.694,0.627
PDCD1LG2,False,False,0.378,-1.346
GLDC,True,True,0.0,2.783
STARD4,True,True,0.0,-6.621
TMEM216,True,True,0.0,-4.267
EDDM3A,False,False,0.163,1.781
MRFAP1L1,True,True,0.0,-16.675
PAQR5,False,False,0.148,1.596
KRTAP4-6,False,False,0.068,3.642
DYNC1LI2,False,True,0.031,-3.203
PTRF,False,False,0.625,-3.251
CMTM4,False,False,0.888,0.084
REEP2,False,False,0.749,-0.089
ASS1,False,False,0.87,0.714
TCEANC2,False,False,0.171,1.418
RBP1,False,False,0.521,1.612
MID2,False,False,0.922,0.173
LIPG,False,False,0.817,0.218
MAEL,False,False,0.48,-0.835
ZNF256,False,False,0.169,-1.357
SECISBP2L,True,True,0.002,5.114
USB1,True,True,0.0,-16.401
FLRT1,False,False,0.325,1.317
PPFIA1,False,True,0.028,-2.716
ERCC3,False,True,0.007,-4.395
TSGA10,False,False,0.63,-0.975
NYX,False,False,0.326,0.703
ATRAID,False,True,0.044,-5.953
ZBTB6,False,True,0.034,-2.505
SIX3,False,False,0.524,0.237
RBP3,False,False,0.319,0.956
OR4C16,False,False,0.458,0.981
SARAF,True,True,0.0,-42.307
POC5,True,True,0.0,-3.331
PRPF6,False,True,0.024,-2.829
NEFL,False,False,0.054,2.824
UBE2I,False,False,0.283,2.518
IZUMO1,False,False,0.764,-0.6
ATP5G1,False,True,0.024,14.82
ISG15,False,False,0.296,-37.12
NUDT9,False,False,0.494,-0.811
C9orf156,False,False,0.389,1.422
CT47A1,False,False,0.289,0.813
PNP,False,False,0.132,-5.494
U2AF1L4,False,False,0.633,-0.635
SAT1,False,False,0.129,-63.216
CLEC18B,False,False,0.169,-1.122
DCAF8,True,True,0.0,-11.838
ARHGAP30,True,True,0.0,-44.304
ARHGEF5,True,True,0.002,5.088
RPL7A,True,True,0.0,409.586
ATP1B2,False,False,0.837,0.34
SOAT1,True,True,0.001,-5.226
RGS17,False,False,0.059,-2.048
TSPAN16,False,False,0.706,-0.088
FAM175B,False,False,0.418,-1.194
ADD1,True,True,0.0,-20.698
AC243687.1,False,False,0.713,0.233
GRWD1,False,True,0.025,3.947
RPS13,True,True,0.0,277.286
MOAP1,True,True,0.0,-16.964
ELF5,False,False,0.151,1.837
LIX1L,True,True,0.0,-4.968
TLX1,False,False,0.647,1.007
OR4F15,False,False,0.417,-1.119
BDKRB1,False,False,0.428,1.252
TMEM18,False,False,0.66,-0.803
TMEM63A,False,False,0.453,-1.897
ARID3B,True,True,0.0,-4.654
ARMC10,False,False,0.849,-0.193
GDF2,False,False,0.765,0.399
ODF2L,True,True,0.0,-9.86
ERLEC1,False,False,0.756,0.484
DNAJB13,False,False,0.228,1.847
SLC39A5,False,False,0.582,0.661
STARD5,False,False,0.264,-1.945
PCF11,False,True,0.01,4.147
MYZAP,False,False,0.058,2.689
RSG1,False,False,0.237,-2.013
CNOT6,False,False,0.446,-0.835
DIRAS3,False,False,0.264,-0.695
PATE1,False,False,0.057,3.101
NARS,False,False,0.39,-2.725
RNF217,False,False,0.06,-0.978
SIGLEC15,False,False,0.485,-0.239
AC007163.2,False,False,0.167,-1.167
ZNF843,False,False,0.241,0.997
CDH19,False,False,0.109,1.939
NFATC2IP,True,True,0.0,-8.165
GSTA4,False,False,0.193,2.748
CFDP1,False,True,0.023,-3.025
FFAR2,False,False,0.96,0.234
BTG4,False,False,0.225,-1.885
AAAS,False,False,0.772,-0.575
SLC22A18AS,False,False,0.159,-1.364
EMC6,True,True,0.0,-6.144
SKP2,False,False,0.628,0.488
FKSG51,True,True,0.0,-2.85
SRPK1,False,False,0.52,0.958
BRI3BP,False,True,0.013,2.35
DNASE1,False,False,0.076,-2.269
SLC25A29,False,False,0.355,-1.717
PPP2R2D,False,False,0.43,-0.542
LRCH2,False,False,0.519,0.208
SMC4,False,False,0.684,0.765
FAM71B,False,False,0.262,1.088
SLA2,True,True,0.0,-36.557
NUP153,False,False,0.934,-0.133
SMIM17,False,False,0.603,0.523
VPS13D,False,False,0.686,-0.285
CLDN22,False,False,0.437,0.522
COPS7A,False,False,0.408,-1.082
C17orf47,False,False,0.065,-0.841
SOHLH2,False,False,0.365,1.731
RP11-315D16.2,False,False,0.231,-0.58
VPS8,True,True,0.003,-6.113
PRC1,False,True,0.048,7.282
ZBBX,False,False,0.17,-2.476
DNM1L,False,True,0.025,2.607
ECI2,False,False,0.07,-3.487
DDX42,False,False,0.332,1.305
ADAMTS19,False,False,0.841,-0.149
B3GNT9,True,True,0.009,3.853
WIZ,True,True,0.0,-6.075
C1orf87,False,False,0.408,0.91
RBBP5,False,False,0.366,1.624
HNRNPH2,False,True,0.046,-4.7
RPA1,False,False,0.053,-3.745
RPS6KA1,True,True,0.0,-40.763
KCNK12,False,False,0.746,0.311
GYG1,True,True,0.0,-10.48
PLK2,False,False,0.883,-0.504
RNF165,True,True,0.0,-6.073
DNAJC5B,False,False,0.253,1.773
TK1,False,False,0.055,6.165
MRPL43,True,True,0.001,-5.236
HMX1,False,False,0.538,0.44
C16orf95,False,False,0.206,1.848
GCG,False,False,0.996,-0.002
PALM,False,False,0.52,0.886
TP53TG5,False,False,0.976,0.026
PUF60,True,True,0.001,-10.891
C9orf117,False,False,0.712,0.334
ADGRF3,False,False,0.857,-0.366
NDUFA8,False,False,0.429,-2.125
CCDC84,False,False,0.271,-1.781
LGALS2,False,True,0.02,-10.474
PURA,False,False,0.421,-0.437
NCOA4,False,True,0.049,-10.354
GML,False,False,0.193,-0.783
ACMSD,False,False,0.801,0.148
FRAS1,False,False,0.059,1.054
C8orf44-SGK3,True,True,0.014,-2.75
FGF10,False,False,0.503,0.708
ULK1,False,True,0.027,-2.786
CASP16,False,False,0.5,-1.114
NEUROD6,False,False,0.573,0.626
RUFY2,False,False,0.595,-0.825
BCAR1,False,False,0.992,-0.025
GPR83,False,False,0.659,0.518
FAM53B,False,False,0.085,-4.265
MIB1,False,True,0.015,-1.953
GCLM,False,False,0.233,2.057
CBLN3,True,True,0.0,9.958
CLCN5,False,False,0.618,0.517
CCDC186,False,False,0.144,-2.724
RNASEH2A,False,False,0.787,-0.475
PTPN20,False,False,0.888,-0.187
DCAF17,False,False,0.066,-3.249
RAB5C,True,True,0.0,-25.496
FAM219B,True,True,0.003,-2.324
VPS35,False,False,0.393,0.718
POGLUT1,False,False,0.058,-1.069
NPC1L1,False,False,0.11,1.41
VWA9,False,False,0.143,-1.245
SAMD9,False,False,0.186,-3.157
HAUS1,False,False,0.132,3.225
TMEM223,True,True,0.003,-3.624
JRK,False,False,0.213,-1.96
SEZ6L2,False,False,0.592,0.831
EIF2AK4,False,False,0.262,-1.184
DPM2,False,False,0.084,-1.235
NUCB1,True,True,0.0,-31.81
GADD45GIP1,False,False,0.527,-1.329
SOCS5,False,False,0.916,0.142
TPM1,False,False,0.419,-13.549
HYAL4,False,False,0.369,1.105
POU6F2,False,False,0.199,2.09
TARSL2,False,False,0.534,-0.98
FERMT1,False,False,0.091,1.592
MUSK,False,False,0.111,-0.789
WSB2,False,False,0.177,3.034
TNS4,False,False,0.318,3.154
NPAS3,False,False,0.174,-1.187
LYPD2,False,False,0.844,-0.364
RP11-302B13.5,True,True,0.006,1.622
PKLR,False,False,0.507,-0.942
WDFY1,False,False,0.142,-1.869
ENOX2,False,False,0.448,0.755
PDZRN4,False,False,0.068,2.712
SPATA8,False,False,0.906,-0.188
KCNK2,False,False,0.351,1.725
ZNF534,False,False,0.14,0.958
MTR,False,False,0.426,1.083
CDH23,False,False,0.28,-1.62
DMTF1,False,True,0.007,-5.076
INTS3,False,False,0.569,-0.438
CCBE1,False,False,0.666,0.571
GPR55,False,False,0.273,-0.988
AGER,False,True,0.009,-3.13
CTD-2140B24.4,False,False,0.493,-0.786
MAP3K19,False,False,0.55,-0.637
RNF20,False,False,0.142,3.256
CBX4,True,True,0.0,-23.051
C12orf43,False,True,0.036,-3.397
RGS3,True,True,0.0,-44.69
SRSF7,False,False,0.818,0.882
ZFYVE9,False,False,0.278,1.316
HAUS4,False,True,0.05,2.816
RTCB,False,False,0.212,2.686
INTU,False,False,0.637,-0.701
CDC73,False,False,0.124,1.922
ISOC2,False,False,0.469,1.67
GPRC5A,False,False,0.339,4.771
C9orf84,False,False,0.428,-1.155
ZFP36L1,True,True,0.001,29.158
UQCC1,False,False,0.118,3.083
BNIP1,False,False,0.187,-1.786
CBR4,False,False,0.116,-1.894
OR4F5,False,False,0.507,-0.985
NDUFS3,False,False,0.16,-4.282
OR2T2,False,False,0.874,0.383
HAND2,False,False,0.388,-1.018
ZFP69B,False,False,0.473,0.711
UBAP2,False,False,0.898,-0.136
B4GALNT1,False,False,0.665,-0.616
PRPF31,False,False,0.539,-1.216
LANCL1,False,False,0.147,-1.668
WNT5B,False,False,0.582,-0.825
FOXG1,False,False,0.18,0.205
B3GNT7,True,True,0.0,-20.365
DEFB125,False,False,0.308,-1.097
SENP7,True,True,0.002,-3.714
PKDREJ,False,False,0.136,0.678
DEFB104B,False,False,0.703,-0.315
ZNF546,False,False,0.897,0.111
PGK2,False,False,0.204,1.515
TOB2,False,False,0.872,-0.245
FCRL4,False,False,0.697,0.2
NADK,False,False,0.549,-2.74
HNF4G,False,False,0.758,-0.45
APOBEC4,False,False,0.334,-0.712
DKK2,False,False,0.758,-0.278
SLC12A2,False,False,0.649,0.977
CXCL2,False,False,0.923,0.737
TCF4,False,True,0.037,22.457
HAS2,False,False,0.151,3.12
SLC22A10,False,False,0.356,-1.418
NIPBL,True,True,0.001,-6.637
AMIGO2,False,False,0.864,0.47
FOXR1,False,False,0.385,-1.03
RNLS,False,True,0.031,1.42
TMED2,False,False,0.554,-3.141
HSPA12A,False,False,0.551,-0.469
APBB2,False,True,0.034,3.499
SMIM5,False,False,0.14,-2.361
MRPL37,False,False,0.323,2.357
ZNF132,False,False,0.872,-0.177
TSLP,False,False,0.428,-0.868
KLHL5,True,True,0.0,14.567
KCNN1,False,False,0.278,-1.022
MYBBP1A,True,True,0.005,4.069
TMEM205,False,False,0.381,-3.177
BCAS2,False,False,0.82,-0.619
GCSAML,False,False,0.511,-1.465
DHODH,False,False,0.686,0.372
HPS3,False,False,0.213,-1.624
GBA,True,True,0.0,-6.84
FMO2,False,False,0.071,-1.987
RP11-545J16.1,False,False,0.259,0.361
PRB4,False,False,0.327,-0.385
PLXDC2,False,False,0.097,-2.638
PLLP,False,False,0.355,-0.912
BBS5,False,False,0.369,1.38
EPC1,True,True,0.004,-6.203
IRF2BP1,False,False,0.195,1.824
CORO1B,False,False,0.655,1.532
LYPLAL1,False,True,0.042,2.415
ZNF813,False,False,0.56,-0.201
WNT3A,False,False,0.405,-0.556
NUP107,False,True,0.012,2.467
BOD1L1,True,True,0.003,4.726
BATF2,False,False,0.283,1.524
AXL,False,False,0.675,1.409
CD247,True,True,0.0,-271.772
AC139026.1,False,False,0.343,-1.185
MAK16,True,True,0.0,2.603
SPAG5,False,False,0.133,2.464
SLC22A7,False,False,0.89,0.186
NEUROG3,False,False,0.377,-0.567
GAGE12C,False,False,0.818,0.178
SLC25A18,False,False,0.256,1.482
PRELID1,True,True,0.0,-20.256
KIAA1217,False,False,0.495,0.51
MDS2,True,True,0.001,2.743
MYL10,False,False,0.995,0.007
NEDD8,True,True,0.0,-19.588
CHIA,False,False,0.308,1.617
AES,False,False,0.089,-17.485
SOX5,False,False,0.385,1.06
S100A8,False,False,0.058,-227.936
C19orf33,False,False,0.407,7.207
IL12A,True,True,0.0,3.797
UMODL1,False,False,0.435,1.016
ARRDC3,False,True,0.01,-5.522
CORO1A,True,True,0.0,-152.618
KRT36,False,False,0.206,-1.676
LRRC24,False,False,0.7,0.087
TMEM215,False,True,0.038,2.597
AC241377.2,False,False,0.649,-0.792
ZDHHC9,False,True,0.049,3.656
CA10,False,False,0.232,-0.995
CLEC9A,False,False,0.48,-0.347
PLXNA1,False,False,0.261,1.396
ZNF746,False,False,0.859,-0.303
JRKL,False,False,0.755,0.503
DTYMK,False,False,0.64,-0.775
WDR66,False,False,0.788,0.366
ATXN7L3,False,False,0.388,1.248
FBXO47,False,False,0.229,1.215
TTC33,False,False,0.863,0.066
AMN,False,True,0.041,3.38
TMBIM1,False,False,0.114,-5.957
DSCR8,False,False,0.425,1.041
ZBTB21,False,False,0.078,2.896
PLA2R1,False,False,0.107,2.985
RTFDC1,True,True,0.0,-15.815
HIBCH,False,False,0.204,2.273
CHRM5,False,False,0.229,-2.634
ZNF536,False,False,0.745,-0.152
ABLIM2,False,False,0.429,-0.555
G2E3,False,False,0.245,-0.821
CSDC2,False,False,0.524,0.626
ITPA,False,False,0.056,-2.506
PRSS45,False,False,0.733,0.635
SH2D3C,True,True,0.0,-12.534
F2RL1,False,True,0.029,3.477
C3orf14,False,False,0.723,-0.713
CAMK2G,True,True,0.004,-4.936
OR7G3,False,False,0.549,0.692
FRY,False,False,0.126,-1.807
ZIM2,False,False,0.881,0.155
NUP133,False,False,0.099,0.975
TXNDC12,True,True,0.004,-4.944
NPDC1,False,False,0.736,1.28
PTCHD2,False,False,0.31,-1.368
CEMIP,False,False,0.79,-1.056
SCN2B,False,False,0.699,-0.304
C3orf18,False,False,0.215,-1.131
CELF3,False,False,0.434,0.519
PPP6R2,True,True,0.003,-5.28
BAG2,False,False,0.385,-1.062
SNAPC2,True,True,0.0,-5.145
GUCD1,True,True,0.0,22.048
DSC1,False,False,0.879,0.132
CHIT1,False,False,0.862,0.401
CCDC151,False,False,0.66,0.51
GPR19,False,True,0.045,-0.959
NR1D1,False,False,0.74,-0.312
LSM4,True,True,0.001,-13.083
BMPER,False,True,0.035,1.298
ZNF391,False,False,0.943,0.053
TP53I13,True,True,0.0,-35.55
USP18,False,True,0.025,7.434
SPAG9,False,False,0.225,-2.798
SLC25A46,False,False,0.321,-0.924
CDK3,False,True,0.015,-1.656
PGD,False,True,0.027,21.478
ADAMTS3,False,False,0.166,-1.262
CAMTA1,False,False,0.078,2.133
CRK,False,False,0.946,-0.132
IL13RA2,False,False,0.118,3.458
PSG2,False,False,0.232,2.197
PA2G4,False,False,0.231,-6.083
LRCOL1,False,False,0.251,1.119
SIRT7,False,True,0.006,-4.271
SAP130,False,False,0.844,0.367
PPIAL4F,False,False,0.407,-1.097
CALHM2,True,True,0.0,-12.935
IGF2BP1,False,False,0.363,1.868
