,ci_test_results,z_test_results,z_test_p_values,mean_diff
EGR4,False,False,0.192,0.529
GAL3ST3,False,False,0.688,0.424
VGLL1,False,False,0.706,-0.934
ZNF835,False,False,0.05,0.574
TM6SF2,False,False,0.443,0.804
FYN,True,True,0.0,-170.011
PLA2G15,False,False,0.324,-1.091
ACPT,False,False,0.5,1.004
DEFB104A,False,False,0.71,-0.688
ITGB1BP2,False,False,0.702,-0.447
ACTR6,False,False,0.123,-2.213
WNT5A,False,False,0.303,-1.935
FDCSP,False,False,1.0,-0.001
TAC3,False,False,0.34,-0.54
MYO9A,False,False,0.78,0.564
OR51H1,False,False,0.319,1.719
OR5P3,False,False,0.304,0.927
GAS8,False,False,0.888,-0.126
APOBEC3B,False,True,0.016,4.876
ATF7IP,False,False,0.157,3.149
ANKS6,False,False,0.302,-1.185
CUX2,False,False,0.865,-0.169
POU3F2,False,False,0.921,0.049
FAM127B,False,False,0.229,-2.724
AC037482.2,False,False,0.701,0.372
DCAF6,False,True,0.032,4.88
SLC9C2,False,False,0.152,-1.991
XCR1,False,False,0.738,0.39
NOTCH3,False,False,0.246,-2.596
PHB,False,False,0.695,2.397
CMTM7,False,True,0.008,4.352
CRHR1,False,False,0.917,0.057
ZNF575,False,False,0.523,-0.746
SRRM1,False,False,0.054,-2.959
FTCDNL1,False,False,0.239,1.389
DUSP4,False,False,0.795,0.636
LRWD1,False,False,0.817,0.579
SSPN,True,True,0.0,5.095
RNF122,False,False,0.151,-1.852
DLAT,True,True,0.003,2.452
KCTD19,False,False,0.846,-0.264
ATG4B,True,True,0.0,-11.4
CT47A7,False,True,0.038,2.266
ARFRP1,True,True,0.0,-5.223
ZNF35,False,True,0.026,-2.695
MFAP3,False,False,0.065,-1.752
CALHM3,False,False,0.076,1.031
GRIK3,False,False,0.892,0.096
GC,False,False,0.52,-0.195
TCEAL3,False,True,0.011,-2.605
ANXA6,True,True,0.0,-73.165
RAB3IP,False,False,0.26,2.022
P3H4,False,True,0.042,-1.775
